firearm 2372 [ 67.08151878  80.37516584] 0.42645760839 3.60089530654
cellphone 1052 [ 54.16598222  73.95130164] 0.52620783312 2.4626330424
speaker 1618 [ 41.64140416  62.1662437 ] 0.730680681381 3.5865075988
cabinet 1572 [ 49.60845651  70.99491022] 0.446893438879 2.66074672047
lamp 2318 [ 44.08235643  60.26671635] 1.05824012437 4.55269835831
bench 1816 [ 52.54173227  69.25175357] 0.653258007978 3.10661296313
couch 3173 [ 45.29709545  66.77208707] 0.578575093339 2.85914484048
chair 6778 [ 46.61988064  65.23823695] 0.729670880502 3.81989092344
plane 4045 [ 61.39758026  76.34860263] 0.503842211964 3.28199629178
table 8509 [ 59.03462804  75.01374343] 0.515059386615 2.98689272902
monitor 1095 [ 44.12944489  62.69300918] 0.794701350484 3.28298396413
car 7496 [ 58.13542868  77.74079875] 0.353169988635 4.5184792424
watercraft 1939 [ 52.91616834  70.00234456] 0.620749981764 3.54903814962
