firearm 2372 [ 11.36993     16.05880915] 12.4358369299 9.34863597589
cellphone 1052 [ 5.30729497  8.27945642] 26.6779052381 12.8895108075
speaker 1618 [ 4.14013968  7.04397825] 29.2317084117 14.8470453025
cabinet 1572 [ 3.32683296  5.72357941] 33.979941845 14.0032124037
lamp 2318 [  6.86659228  10.71698093] 13.6188744544 10.5433172308
bench 1816 [ 6.40834355  9.90708997] 19.8073373883 12.6041197637
couch 3173 [ 5.06339723  8.46690255] 23.7254884386 14.4069633661
chair 6778 [ 4.45257086  7.13577349] 24.1933572705 16.1502897956
plane 4045 [ 10.00282452  14.75404629] 8.90057742066 9.56636605029
table 8509 [ 4.01870327  6.49228893] 23.1561958396 13.6471874183
monitor 1095 [ 4.8477659   7.63246522] 29.7977035446 14.2309637079
car 7496 [ 5.82097969  9.3796043 ] 16.4094861423 21.2541437067
watercraft 1939 [ 10.69861356  15.97834772] 11.4485175704 10.1761512059
