puncher 90 [ 29.07718261  44.30335942] 1.45317423012 10.744838493
calculator 111 [ 30.18526745  47.03532523] 1.42185674859 13.9443250269
cd 123 [ 30.80550159  45.81665291] 1.42738213079 15.2108388501
nail 102 [ 46.59418236  63.05814766] 0.848972609734 14.5060320791
scissors 57 [ 42.43714004  57.49964162] 1.45531989549 12.2456598307
hammer 432 [ 38.50315809  54.5500593 ] 1.03455221679 12.555512808
flashlight 195 [ 44.22228455  61.26064674] 0.9108225025 11.0765735296
rubber 42 [ 37.41620391  58.11444883] 0.769702675209 10.2703170316
hand_blower 60 [ 28.35451861  41.02944366] 1.72292847002 9.11294153697
mallet 75 [ 40.51809775  57.16466887] 0.860184483736 11.8213312566
hand_glass 60 [ 30.15618346  46.74328293] 1.11516963206 11.0810965965
mug 627 [ 26.22841621  43.71157973] 1.35367639168 12.2248318791
tape 36 [ 33.66340221  51.96526299] 1.10345899853 12.4412833455
nut 51 [ 17.13686088  31.74722555] 1.39903374144 14.3509428826
knife 1104 [ 62.23685973  78.84160568] 0.488084808097 10.3953749412
pencil 1473 [ 58.14206119  76.42751488] 0.650742507618 11.9962272284
gear 90 [ 21.9356412   37.26331497] 1.41963617304 12.7082397582
ruler 171 [ 50.84509366  68.05620001] 0.663782517715 12.2328081804
screwdriver 87 [ 58.62401328  79.6748786 ] 0.429627792285 9.02965122163
spoon 105 [ 43.51506172  61.79144785] 0.789541852796 12.3765708635
bolt 336 [ 39.92557124  57.38237087] 0.848860191253 12.6845084922
key 120 [ 43.55430475  61.33967271] 0.765382748732 12.7200271748
bulb 135 [ 31.62142945  47.98437196] 1.22118286512 11.5207427247
plunger 282 [ 31.3895348   47.53274264] 1.36214328055 11.8797062149
bevel 90 [ 40.74731386  55.63226573] 1.22144398421 11.2348525921
chisel 60 [ 55.61904777  70.87066747] 0.458091033866 10.8942278628
cutlery 36 [ 45.54433178  62.82062653] 0.805674059927 13.9874215998
tongs 75 [ 32.20704702  51.29927718] 1.02760122726 12.2929238428
wrench 189 [ 44.87438151  62.28164691] 0.759217698209 13.4880427471
drill 51 [ 38.60753503  54.67930208] 1.05299337635 12.4029066114
corkscrew 45 [ 28.47567142  42.16096714] 1.85958100312 13.3653785099
bottle 1896 [ 39.39009515  57.8788101 ] 0.778849590123 10.0509630946
remote_control 426 [ 35.43144368  51.61305376] 4369.80417049 39.3681989132
