Start training, lr =  0.000010
Epoch 1, loss 9.331434
Epoch 2, loss 6.363165
Epoch 3, loss 5.245174
Epoch 4, loss 4.477644
Epoch 5, loss 3.960134
Epoch 6, loss 3.579308
Epoch 7, loss 3.314615
Epoch 8, loss 3.110145
Epoch 9, loss 2.970598
Epoch 10, loss 2.834926
Epoch 11, loss 2.736533
Epoch 12, loss 2.651738
Epoch 13, loss 2.589414
Epoch 14, loss 2.523112
Epoch 15, loss 2.479000
Epoch 16, loss 2.428479
Epoch 17, loss 2.393072
Epoch 18, loss 2.364210
Epoch 19, loss 2.325253
Epoch 20, loss 2.296513
Epoch 21, loss 2.270637
Epoch 22, loss 2.243806
Epoch 23, loss 2.227094
Epoch 24, loss 2.212996
Epoch 25, loss 2.187310
Epoch 26, loss 2.173242
Epoch 27, loss 2.157405
Epoch 28, loss 2.140040
Epoch 29, loss 2.129054
Epoch 30, loss 2.113170
Epoch 31, loss 2.105688
Epoch 32, loss 2.090265
Epoch 33, loss 2.081829
Epoch 34, loss 2.069589
Epoch 35, loss 2.062735
Epoch 36, loss 2.049374
Epoch 37, loss 2.044115
Epoch 38, loss 2.036756
Epoch 39, loss 2.024337
Epoch 40, loss 2.017239
Epoch 41, loss 2.010430
Epoch 42, loss 2.003887
Epoch 43, loss 1.997866
Epoch 44, loss 1.989043
Epoch 45, loss 1.986286
Epoch 46, loss 1.981010
Epoch 47, loss 1.971463
Epoch 48, loss 1.966666
Epoch 49, loss 1.962557
Epoch 50, loss 1.956286
